component_id,weight,name
C-0005,0.206,ADAPTER-STR
C-0006,0.083,ADAPTER-STR
C-1435,0.023,NUT-FLARED
C-1546,0.026,ADAPTER-PIPE
C-1583,0.256,ADAPTER-STR
C-1634,0.06,ADAPTER-STR
C-1975,0.005,NUT-FLARED
C-0428,0.032,CONNECTOR
C-0443,0,NUT-FLARED
C-0823,0.014,NUT-INV FLARED
C-0354,0.136,BUSHING-REDUCING
C-0361,0.005,CONNECTOR-O-RIN
C-1312,0.009,NUT-FLARED
C-1313,0.01,NUT-INV FLARED
C-1194,0.014,COUPLING-PIPE
C-1195,0.031,COUPLING-PIPE
C-1196,0.095,COUPLING-PIPE
C-1197,0.091,COUPLING-PIPE
C-1198,0.181,COUPLING-PIPE
C-1229,0.009,NUT-FLARED
C-1230,0.009,NUT-FLARED
C-1695,0,ADAPTER
C-1812,0.091,BOSS
C-1828,0.181,PLUG-O-RING
C-1868,0.226,ADAPTER-ELBOW
C-0008,0.032,BOSS
C-0009,0.033,BOSS
C-0020,0.07,BOSS
C-0054,0.18,BOSS
C-0071,0.08,BOSS
C-0082,0.043,BOSS-ORFS
C-0083,2.093,FLANGE-ONE PIECE
C-0084,2.601,FLANGE
C-0111,0.1,BOSS
C-0117,0.081,BOSS
C-0151,0.047,BOSS
C-0161,0.559,BLOCK
C-0165,0.046,BOSS-FITTING
C-0177,0.122,BOSS
C-0199,0.1,COUPLET-WELD
C-0208,0.023,CONNECTOR-WELD
C-0209,0.022,CONNECTOR-WELD
C-0213,0.159,CONNECTOR-WELD
C-0214,0.059,CONNECTOR-WELD
C-0215,0.033,CONNECTOR-WELD
C-0242,0.08,BOSS
C-0243,4.034,FLANGE
C-0245,0.1,COUPLET-WELD
C-0255,0.127,BOSS
C-0257,1.63,FLANGE
C-0258,0.192,BOSS
C-0260,0.186,BOSS
C-0262,0.158,BOSS
C-0269,3.361,FLANGE
C-0274,0.378,BOSS
C-0278,0.015,CONNECTOR-WELD
C-0307,1.05,CONNECTOR-SEAL
C-0348,0.045,CONNECTOR-WELD
C-0356,0.12,BOSS
C-0358,0.154,BOSS
C-0387,0.939,FLANGE
C-0393,0.06,BOSS
C-0405,0.05,BOSS
C-0411,0.034,CONNECTOR-WELD
C-0425,0.005,BOSS
C-0426,0.023,BOSS
C-0432,0.063,BOSS
C-0474,0.054,BOSS
C-0475,0.05,BOSS
C-0483,0.08,BOSS
C-0486,0.114,COUPLET
C-0493,0.015,BOSS
C-0495,0.083,SADDLE
C-0497,0.052,BOSS
C-0499,0.082,SADDLE
C-0502,0.269,CONNECTOR
C-0506,0.093,BOSS
C-0513,2.14,BLOCK
C-0520,0.021,BOSS
C-0533,0.026,COUPLING
C-0534,0.217,BOSS
C-0539,0.003,BOSS
C-0544,0.129,CONNECTOR
C-0547,0.012,CONNECTOR-WELD
C-0548,0.059,CONNECTOR-WELD
C-0549,0.059,CONNECTOR-WELD
C-0555,1.612,FLANGE
C-0556,0.059,CONNECTOR
C-0569,0.037,BOSS
C-0575,0.075,BOSS
C-0623,0.021,ADAPTER-WELD
C-0624,0.06,CONNECTOR-ORFS
C-0641,0.304,FLANGE
C-0643,3.361,FLANGE
C-0678,0.112,BOSS
C-0697,0.014,CONNECTOR-BRAZE
C-0699,0.044,BOSS
C-0700,0.265,ADAPTER
C-0701,0.194,ADAPTER
C-0723,0.076,BOSS
C-0755,2.62,BOSS
C-0770,0.987,BLOCK
C-0780,0.577,BLOCK
C-0791,0.034,CONNECTOR-WELD
C-0793,3.815,FLANGE
C-0796,0.987,BLOCK
C-0804,2.805,FLANGE
C-0816,0.071,BOSS
C-0817,0.069,BOSS
C-0837,0.059,BOSS
C-0854,0.041,BOSS
C-0869,1.112,FLANGE
C-0893,0.31,BOSS
C-0899,0.426,BLOCK
C-0920,0.077,BOSS
C-0930,0.122,BOSS
C-0965,0.5,BOSS
C-1029,0.411,BOSS
C-1045,0.01,CONNECTOR-WELD
C-1065,1.494,BOSS
C-1089,0.037,BOSS
C-1117,0.523,BOSS
C-1123,0.149,BOSS-SADDLE
C-1124,0.08,BOSS-SADDLE
C-1127,0.075,BOSS-SADDLE
C-1171,0.149,BOSS-SADDLE
C-1225,0,BOSS
C-1231,0.015,BOSS
C-1233,0.058,BOSS
C-1256,0.14,FITTING
C-1257,0.06,BOSS
C-1259,0.215,BOSS
C-1308,0.454,BOSS
C-1340,0.146,BOSS
C-1410,0.005,BOSS
C-1411,0.057,BOSS
C-1417,0.034,BOSS
C-1426,0.071,FITTING
C-1431,0.1,BOSS
C-1489,0.04,BOSS
C-1496,1.023,FLANGE-SADDLE
C-1503,0.455,FITTING
C-1505,0.045,BOSS
C-1506,0.021,BOSS
C-1507,0.15,BOSS
C-1535,0.052,BOSS
C-1536,0.052,BOSS
C-1537,0.084,FITTING
C-1557,0.091,BOSS
C-1579,0.114,BOSS
C-1697,0.066,BOSS
C-1698,0.073,BOSS
C-1699,0.083,BOSS
C-1707,0.182,FITTING
C-1708,0.052,FITTING
C-1725,0.24,BOSS
C-1729,0.223,BOSS
C-1731,0,BOSS
C-1764,0.009,BOSS
C-1780,0.06,BOSS
C-1833,0.223,BOSS
C-1839,0.055,BOSS
C-1862,0.091,BOSS
C-1919,1.96,BLOCK
C-1924,0.09,BOSS
C-1925,0.197,BOSS
C-1928,0.079,BOSS
C-1970,0.032,BOSS
C-1973,0.05,BOSS-OUTLET
C-1974,2.375,BOSS
C-1988,0.055,BOSS
C-1990,0.2,BOSS
C-0013,8.89,ELBOW
C-0016,1.172,ELBOW
C-0017,1.245,ELBOW
C-0018,1.863,ELBOW
C-0021,0.903,HOUSING-OIL
C-0022,0.103,HOUSING FUEL
C-0023,1.297,BLOCK
C-0028,1.633,ELBOW-HYDRAULIC
C-0042,0.357,ELBOW
C-0061,0.2,ADAPTER-O SUPPL
C-0063,0.227,ADAPTER-O LINE
C-0065,0.561,ELBOW-WELD
C-0066,0.614,ELBOW-WELD
C-0075,1.09,ELBOW-HYDRAULIC
C-0076,1.494,ELBOW-HYDRAULIC
C-0090,1.159,ELBOW-HYDRAULIC
C-0094,0.61,ELBOW
C-0104,1.496,BLOCK
C-0105,9.6,ELBOW-BRAZE
C-0106,9.6,ELBOW-BRAZE
C-0107,0.682,ELBOW-900 3/4
C-0140,0.28,ELBOW
C-0143,9.5,ELBOW-HYDRAULIC
C-0152,4.987,ELBOW-HYDRAULIC
C-0160,1.004,ELBOW
C-0163,1.415,ELBOW-HYDRAULIC
C-0169,9.805,FLANGE
C-0175,1.347,ELBOW-HYDRAULIC
C-0187,1.17,ELBOW
C-0188,1.5,ELBOW
C-0192,1.433,ELBOW-HYDRAULIC
C-0207,1.304,ELBOW-HYDRAULIC
C-0238,1.121,
C-0254,0.486,FLANGE
C-0259,1.836,ELBOW
C-0266,4.308,FLANGE
C-0273,1.181,ELBOW-HYDRAULIC
C-0284,2.258,ELBOW-HYDRAULIC
C-0285,5.307,ELBOW-HYDRAULIC
C-0296,2.189,ELBOW
C-0303,2.179,ELBOW
C-0320,0.639,PLUG
C-0331,6.245,MANIFOLD
C-0367,1.093,ELBOW
C-0394,2.46,ELBOW-HYDRAULIC
C-0401,1.095,ELBOW-HYDRAULIC
C-0407,2.38,ELBOW-HYDRAULIC
C-0447,0.232,ADAPTER-SUPPLY
C-0464,2.041,ELBOW-HYDRAULIC
C-0501,3.655,ELBOW
C-0516,1.015,ELBOW
C-0526,0.544,ELBOW
C-0537,0.42,FLANGE
C-0565,1.05,ELBOW-WELD
C-0566,1.4,ELBOW-HYDRAULIC
C-0567,1.52,ELBOW-HYDRAULIC
C-0585,0.551,ELBOW
C-0598,0.687,ELBOW
C-0608,2.22,ELBOW-HYDRAULIC
C-0615,0.712,ELBOW
C-0616,0.699,ELBOW
C-0625,1.845,MANIFOLD
C-0646,10.19,ELBOW-HYDRAULIC
C-0688,2.651,ELBOW
C-0789,2.319,ELBOW
C-0802,1.418,ELBOW
C-0820,1.95,ELBOW
C-0821,1.982,ELBOW
C-0822,0.7,ELBOW
C-0839,1.648,ELBOW
C-0905,0.21,ELBOW
C-0910,2.543,ELBOW
C-0931,5.202,ELBOW
C-0943,1.156,FLANGE
C-0956,0.695,FLANGE
C-0963,0.755,FLANGE
C-0972,1.14,FLANGE-TIG
C-0999,1.356,ELBOW-HYDRAULIC
C-1004,0.7,ELBOW
C-1006,2.394,ELBOW-HYDRAULIC
C-1024,1.316,ELBOW
C-1069,5.36,BLOCK
C-1208,0.68,ELBOW
C-1239,0.499,ELBOW
C-1247,0.636,ELBOW
C-1255,0.69,ELBOW
C-1317,0.566,ELBOW
C-1327,1.225,ELBOW
C-1331,2.192,FLANGE-ONE PIEC
C-1333,1.286,ELBOW
C-1334,1.923,ELBOW
C-1335,2.821,ELBOW
C-1336,1.88,ELBOW
C-1337,1.806,ELBOW
C-1339,0.521,ELBOW
C-1345,0.332,FLANGE-ONE PIEC
C-1348,0.654,ELBOW
C-1349,0.636,ELBOW
