,bracket_pricing,quantity,diameter,wall,length,end_a_1x,end_a_2x,end_x_1x,end_x_2x,num_boss,other,end_a_forming,end_x_forming,no_of_components,total_component_weight,SP-0019,SP-0035,SP-0039,SP-0046,SP-0048,cost
0,1.0,1.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,21.90593302
1,1.0,2.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,12.34121398
2,1.0,5.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,6.601826144
3,1.0,10.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,4.687769512
4,1.0,25.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,3.54156118
5,1.0,50.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,3.224406448
6,1.0,100.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,3.082521436
7,1.0,250.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,2.999059664
8,1.0,1.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,21.97270244
9,1.0,2.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,12.4079834
10,1.0,5.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,6.668595561
11,1.0,10.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,4.754538929
12,1.0,25.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,3.608330598
13,1.0,50.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,3.291175865
14,1.0,100.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,3.149290853
15,1.0,250.0,6.35,0.71,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,3.065829081
16,1.0,1.0,6.35,0.71,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,22.41504983
17,1.0,2.0,6.35,0.71,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,12.85033079
18,1.0,5.0,6.35,0.71,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,7.11372501
19,1.0,10.0,6.35,0.71,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,5.199668379
20,1.0,25.0,6.35,0.71,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,4.050677988
21,1.0,50.0,6.35,0.71,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,3.736305314
22,1.0,100.0,6.35,0.71,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,3.594420302
23,1.0,250.0,6.35,0.71,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,3.510958531
24,0.0,1.0,12.7,0.89,101.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,8.563177779
25,1.0,1.0,9.52,0.71,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,20.93499441
26,1.0,2.0,9.52,0.71,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,11.37027537
27,1.0,5.0,9.52,0.71,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,5.633669592
28,1.0,10.0,9.52,0.71,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,3.71961296
29,1.0,25.0,9.52,0.71,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,2.573404628
30,1.0,50.0,9.52,0.71,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,2.256249896
31,1.0,100.0,9.52,0.71,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,2.114364884
32,1.0,250.0,9.52,0.71,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,2.030903112
33,1.0,1.0,9.52,0.71,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,20.78198116
34,1.0,2.0,9.52,0.71,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,11.21726212
35,1.0,5.0,9.52,0.71,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,5.477874284
36,1.0,10.0,9.52,0.71,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,3.566599712
37,1.0,25.0,9.52,0.71,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,2.417609321
38,1.0,50.0,9.52,0.71,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,2.103236648
39,1.0,100.0,9.52,0.71,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,1.961351636
40,1.0,250.0,9.52,0.71,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.028,0.0,0.0,1.0,0.0,0.0,1.877889864
41,1.0,2.0,6.35,0.71,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,11.91555894
42,1.0,4.0,6.35,0.71,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,8.646639551
43,1.0,6.0,6.35,0.71,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,7.227789432
44,1.0,8.0,6.35,0.71,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,1.0,0.0,0.0,0.0,0.0,6.451594954
45,1.0,1.0,6.35,0.71,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,21.32170062
46,1.0,2.0,6.35,0.71,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,11.75698158
47,1.0,5.0,6.35,0.71,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,6.020375801
48,1.0,10.0,6.35,0.71,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,4.106319169
49,1.0,25.0,6.35,0.71,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.957328778
50,1.0,50.0,6.35,0.71,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.642956105
51,1.0,100.0,6.35,0.71,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.501071093
52,1.0,250.0,6.35,0.71,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.417609321
53,1.0,1.0,6.35,0.71,218.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,22.50685778
54,1.0,2.0,6.35,0.71,218.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,12.94213874
55,1.0,5.0,6.35,0.71,218.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,7.2027509
56,1.0,10.0,6.35,0.71,218.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,5.291476327
57,1.0,25.0,6.35,0.71,218.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,4.142485937
58,1.0,50.0,6.35,0.71,218.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,3.825331204
59,1.0,100.0,6.35,0.71,218.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,3.686228251
60,1.0,250.0,6.35,0.71,218.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,3.59998442
61,1.0,1.0,6.35,0.71,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,21.60547064
62,1.0,2.0,6.35,0.71,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,12.0407516
63,1.0,5.0,6.35,0.71,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,6.301363765
64,1.0,10.0,6.35,0.71,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,4.387307134
65,1.0,25.0,6.35,0.71,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,3.241098802
66,1.0,50.0,6.35,0.71,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.923944069
67,1.0,100.0,6.35,0.71,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.782059058
68,1.0,250.0,6.35,0.71,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.698597286
69,1.0,1.0,6.35,0.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,21.53870122
70,1.0,2.0,6.35,0.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,11.97398218
71,1.0,5.0,6.35,0.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,6.234594348
72,1.0,10.0,6.35,0.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,4.320537716
73,1.0,25.0,6.35,0.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,3.174329385
74,1.0,50.0,6.35,0.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.857174652
75,1.0,100.0,6.35,0.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.718071699
76,1.0,250.0,6.35,0.71,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.018,0.0,0.0,1.0,0.0,0.0,2.631827868
