,tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other,end_a_forming,end_x_forming,no_of_components,total_component_weight
0,TA-00002,S-0066,7/7/2013,0,0,Yes,1,21.90593302,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
1,TA-00002,S-0066,7/7/2013,0,0,Yes,2,12.34121398,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
2,TA-00002,S-0066,7/7/2013,0,0,Yes,5,6.601826144,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
3,TA-00002,S-0066,7/7/2013,0,0,Yes,10,4.687769512,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
4,TA-00002,S-0066,7/7/2013,0,0,Yes,25,3.54156118,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
5,TA-00002,S-0066,7/7/2013,0,0,Yes,50,3.224406448,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
6,TA-00002,S-0066,7/7/2013,0,0,Yes,100,3.082521436,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
7,TA-00002,S-0066,7/7/2013,0,0,Yes,250,2.999059664,SP-0019,6.35,0.71,137,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
8,TA-00004,S-0066,7/7/2013,0,0,Yes,1,21.97270244,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
9,TA-00004,S-0066,7/7/2013,0,0,Yes,2,12.4079834,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
10,TA-00004,S-0066,7/7/2013,0,0,Yes,5,6.668595561,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
11,TA-00004,S-0066,7/7/2013,0,0,Yes,10,4.754538929,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
12,TA-00004,S-0066,7/7/2013,0,0,Yes,25,3.608330598,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
13,TA-00004,S-0066,7/7/2013,0,0,Yes,50,3.291175865,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
14,TA-00004,S-0066,7/7/2013,0,0,Yes,100,3.149290853,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
15,TA-00004,S-0066,7/7/2013,0,0,Yes,250,3.065829081,SP-0019,6.35,0.71,137,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
16,TA-00012,S-0066,11/8/2013,0,0,Yes,1,22.41504983,SP-0039,6.35,0.71,207,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
17,TA-00012,S-0066,11/8/2013,0,0,Yes,2,12.85033079,SP-0039,6.35,0.71,207,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
18,TA-00012,S-0066,11/8/2013,0,0,Yes,5,7.11372501,SP-0039,6.35,0.71,207,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
19,TA-00012,S-0066,11/8/2013,0,0,Yes,10,5.199668379,SP-0039,6.35,0.71,207,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes,2,0.018
