,annual_usage,min_order_quantity,bracket_pricing,quantity,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,num_boss,num_bracket,other,end_a_forming,end_x_forming,no_of_components,total_component_weight,cost
0,0.0,0.0,1.0,1.0,6.35,0.71,137,8.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,21.90593302
1,0.0,0.0,1.0,2.0,6.35,0.71,137,8.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,12.34121398
2,0.0,0.0,1.0,5.0,6.35,0.71,137,8.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,6.601826144
3,0.0,0.0,1.0,10.0,6.35,0.71,137,8.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,4.687769512
4,0.0,0.0,1.0,25.0,6.35,0.71,137,8.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.54156118
5,0.0,0.0,1.0,50.0,6.35,0.71,137,8.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.224406448
6,0.0,0.0,1.0,100.0,6.35,0.71,137,8.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.082521436
7,0.0,0.0,1.0,250.0,6.35,0.71,137,8.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,2.999059664
8,0.0,0.0,1.0,1.0,6.35,0.71,137,9.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,21.97270244
9,0.0,0.0,1.0,2.0,6.35,0.71,137,9.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,12.4079834
10,0.0,0.0,1.0,5.0,6.35,0.71,137,9.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,6.668595561
11,0.0,0.0,1.0,10.0,6.35,0.71,137,9.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,4.754538929
12,0.0,0.0,1.0,25.0,6.35,0.71,137,9.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.608330598
13,0.0,0.0,1.0,50.0,6.35,0.71,137,9.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.291175865
14,0.0,0.0,1.0,100.0,6.35,0.71,137,9.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.149290853
15,0.0,0.0,1.0,250.0,6.35,0.71,137,9.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.065829081
16,0.0,0.0,1.0,1.0,6.35,0.71,207,7.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,22.41504983
17,0.0,0.0,1.0,2.0,6.35,0.71,207,7.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,12.85033079
18,0.0,0.0,1.0,5.0,6.35,0.71,207,7.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,7.11372501
19,0.0,0.0,1.0,10.0,6.35,0.71,207,7.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,5.199668379
20,0.0,0.0,1.0,25.0,6.35,0.71,207,7.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,4.050677988
21,0.0,0.0,1.0,50.0,6.35,0.71,207,7.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.736305314
22,0.0,0.0,1.0,100.0,6.35,0.71,207,7.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.594420302
23,0.0,0.0,1.0,250.0,6.35,0.71,207,7.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,3.510958531
24,1.0,1.0,0.0,1.0,12.7,0.89,101,6.00,25.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.018,8.563177779
25,0.0,0.0,1.0,1.0,9.52,0.71,99,2.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,20.93499441
26,0.0,0.0,1.0,2.0,9.52,0.71,99,2.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,11.37027537
27,0.0,0.0,1.0,5.0,9.52,0.71,99,2.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,5.633669592
28,0.0,0.0,1.0,10.0,9.52,0.71,99,2.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,3.71961296
29,0.0,0.0,1.0,25.0,9.52,0.71,99,2.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,2.573404628
30,0.0,0.0,1.0,50.0,9.52,0.71,99,2.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,2.256249896
31,0.0,0.0,1.0,100.0,9.52,0.71,99,2.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,2.114364884
32,0.0,0.0,1.0,250.0,9.52,0.71,99,2.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,2.030903112
33,0.0,0.0,1.0,1.0,9.52,0.71,65,3.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,20.78198116
34,0.0,0.0,1.0,2.0,9.52,0.71,65,3.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,11.21726212
35,0.0,0.0,1.0,5.0,9.52,0.71,65,3.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,5.477874284
36,0.0,0.0,1.0,10.0,9.52,0.71,65,3.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,3.566599712
37,0.0,0.0,1.0,25.0,9.52,0.71,65,3.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,2.417609321
38,0.0,0.0,1.0,50.0,9.52,0.71,65,3.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,2.103236648
39,0.0,0.0,1.0,100.0,9.52,0.71,65,3.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,1.961351636
40,0.0,0.0,1.0,250.0,9.52,0.71,65,3.00,31.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.028,1.877889864
