,Unnamed: 0,annual_usage,min_order_quantity,quantity,wall,num_bends,bend_radius,num_boss,other,no_of_components,total_component_weight,volume,cost
0,0,0,0,1,0.71,8,19.05,0,0,2,0.018,4338.68278977,21.90593302
1,1,0,0,2,0.71,8,19.05,0,0,2,0.018,4338.68278977,12.34121398
2,2,0,0,5,0.71,8,19.05,0,0,2,0.018,4338.68278977,6.601826144
3,3,0,0,10,0.71,8,19.05,0,0,2,0.018,4338.68278977,4.687769512
4,4,0,0,25,0.71,8,19.05,0,0,2,0.018,4338.68278977,3.54156118
5,5,0,0,50,0.71,8,19.05,0,0,2,0.018,4338.68278977,3.224406448
6,6,0,0,100,0.71,8,19.05,0,0,2,0.018,4338.68278977,3.082521436
7,7,0,0,250,0.71,8,19.05,0,0,2,0.018,4338.68278977,2.999059664
8,8,0,0,1,0.71,9,19.05,0,0,2,0.018,4338.68278977,21.97270244
9,9,0,0,2,0.71,9,19.05,0,0,2,0.018,4338.68278977,12.4079834
10,10,0,0,5,0.71,9,19.05,0,0,2,0.018,4338.68278977,6.668595561
11,11,0,0,10,0.71,9,19.05,0,0,2,0.018,4338.68278977,4.754538929
12,12,0,0,25,0.71,9,19.05,0,0,2,0.018,4338.68278977,3.608330598
13,13,0,0,50,0.71,9,19.05,0,0,2,0.018,4338.68278977,3.291175865
14,14,0,0,100,0.71,9,19.05,0,0,2,0.018,4338.68278977,3.149290853
15,15,0,0,250,0.71,9,19.05,0,0,2,0.018,4338.68278977,3.065829081
16,16,0,0,1,0.71,7,19.05,0,0,2,0.018,6555.52801082,22.41504983
17,17,0,0,2,0.71,7,19.05,0,0,2,0.018,6555.52801082,12.85033079
18,18,0,0,5,0.71,7,19.05,0,0,2,0.018,6555.52801082,7.11372501
19,19,0,0,10,0.71,7,19.05,0,0,2,0.018,6555.52801082,5.199668379
20,20,0,0,25,0.71,7,19.05,0,0,2,0.018,6555.52801082,4.050677988
21,21,0,0,50,0.71,7,19.05,0,0,2,0.018,6555.52801082,3.736305314
22,22,0,0,100,0.71,7,19.05,0,0,2,0.018,6555.52801082,3.594420302
23,23,0,0,250,0.71,7,19.05,0,0,2,0.018,6555.52801082,3.510958531
24,24,1,1,1,0.89,6,25.4,0,0,2,0.018,12794.3638472,8.563177779
25,25,0,0,1,0.71,2,31.75,0,0,2,0.028,7046.91402109,20.93499441
26,26,0,0,2,0.71,2,31.75,0,0,2,0.028,7046.91402109,11.37027537
27,27,0,0,5,0.71,2,31.75,0,0,2,0.028,7046.91402109,5.633669592
28,28,0,0,10,0.71,2,31.75,0,0,2,0.028,7046.91402109,3.71961296
29,29,0,0,25,0.71,2,31.75,0,0,2,0.028,7046.91402109,2.573404628
30,30,0,0,50,0.71,2,31.75,0,0,2,0.028,7046.91402109,2.256249896
31,31,0,0,100,0.71,2,31.75,0,0,2,0.028,7046.91402109,2.114364884
32,32,0,0,250,0.71,2,31.75,0,0,2,0.028,7046.91402109,2.030903112
33,33,0,0,1,0.71,3,31.75,0,0,2,0.028,4626.76173102,20.78198116
34,34,0,0,2,0.71,3,31.75,0,0,2,0.028,4626.76173102,11.21726212
35,35,0,0,5,0.71,3,31.75,0,0,2,0.028,4626.76173102,5.477874284
36,36,0,0,10,0.71,3,31.75,0,0,2,0.028,4626.76173102,3.566599712
37,37,0,0,25,0.71,3,31.75,0,0,2,0.028,4626.76173102,2.417609321
38,38,0,0,50,0.71,3,31.75,0,0,2,0.028,4626.76173102,2.103236648
39,39,0,0,100,0.71,3,31.75,0,0,2,0.028,4626.76173102,1.961351636
40,40,0,0,250,0.71,3,31.75,0,0,2,0.028,4626.76173102,1.877889864
41,41,2,0,2,0.71,6,19.05,0,0,2,0.018,1583.46087218,11.91555894
42,42,2,0,4,0.71,6,19.05,0,0,2,0.018,1583.46087218,8.646639551
43,43,2,0,6,0.71,6,19.05,0,0,2,0.018,1583.46087218,7.227789432
44,44,2,0,8,0.71,6,19.05,0,0,2,0.018,1583.46087218,6.451594954
45,45,0,0,1,0.71,3,19.05,0,0,2,0.018,3388.60626646,21.32170062
46,46,0,0,2,0.71,3,19.05,0,0,2,0.018,3388.60626646,11.75698158
47,47,0,0,5,0.71,3,19.05,0,0,2,0.018,3388.60626646,6.020375801
48,48,0,0,10,0.71,3,19.05,0,0,2,0.018,3388.60626646,4.106319169
49,49,0,0,25,0.71,3,19.05,0,0,2,0.018,3388.60626646,2.957328778
50,50,0,0,50,0.71,3,19.05,0,0,2,0.018,3388.60626646,2.642956105
51,51,0,0,100,0.71,3,19.05,0,0,2,0.018,3388.60626646,2.501071093
52,52,0,0,250,0.71,3,19.05,0,0,2,0.018,3388.60626646,2.417609321
53,53,0,0,1,0.71,7,19.05,0,0,2,0.018,6903.8894027,22.50685778
54,54,0,0,2,0.71,7,19.05,0,0,2,0.018,6903.8894027,12.94213874
55,55,0,0,5,0.71,7,19.05,0,0,2,0.018,6903.8894027,7.2027509
56,56,0,0,10,0.71,7,19.05,0,0,2,0.018,6903.8894027,5.291476327
57,57,0,0,25,0.71,7,19.05,0,0,2,0.018,6903.8894027,4.142485937
58,58,0,0,50,0.71,7,19.05,0,0,2,0.018,6903.8894027,3.825331204
59,59,0,0,100,0.71,7,19.05,0,0,2,0.018,6903.8894027,3.686228251
60,60,0,0,250,0.71,7,19.05,0,0,2,0.018,6903.8894027,3.59998442
61,61,0,0,1,0.71,4,19.05,0,0,2,0.018,4212.00592,21.60547064
62,62,0,0,2,0.71,4,19.05,0,0,2,0.018,4212.00592,12.0407516
63,63,0,0,5,0.71,4,19.05,0,0,2,0.018,4212.00592,6.301363765
64,64,0,0,10,0.71,4,19.05,0,0,2,0.018,4212.00592,4.387307134
65,65,0,0,25,0.71,4,19.05,0,0,2,0.018,4212.00592,3.241098802
66,66,0,0,50,0.71,4,19.05,0,0,2,0.018,4212.00592,2.923944069
